account_type,media_type,content_category,traffic_source,follower_count,hashtags_count,caption_length,has_cta,is_weekend,post_hour,likes,comments,shares,saves,normalized_engagement,is_viral
creator,image,photography,external,8167,8,141,0,0,4,796,17,36,120,0.14423901065262643,1
brand,reel,music,profile,10018,5,104,0,0,15,380,11,18,50,0.05550009982032342,0
creator,image,travel,hashtags,3083,5,128,0,0,3,114,1,4,13,0.04995134609146935,0
creator,carousel,fitness,home feed,15923,10,131,1,0,14,133,2,12,18,0.013125667273754946,0
creator,carousel,technology,external,4972,11,115,0,0,22,109,1,8,12,0.03197908286403862,0
creator,reel,beauty,external,7486,10,144,1,0,16,149,1,6,26,0.029521773978092438,0
brand,reel,food,reels feed,15986,6,122,1,0,16,166,3,9,27,0.015826348054547728,0
brand,reel,fashion,hashtags,4972,8,120,0,0,12,28,2,2,8,0.01086082059533387,0
creator,image,fitness,external,22291,6,108,1,0,23,336,12,14,47,0.022251132744156833,0
creator,image,travel,profile,10034,9,129,0,0,10,273,8,17,41,0.04205700617899143,0
brand,carousel,beauty,external,4542,6,115,0,0,15,154,5,8,23,0.05151915455746367,0
creator,reel,fitness,external,4972,5,130,0,0,3,96,1,4,12,0.026950925181013677,0
creator,carousel,travel,home feed,7486,13,103,1,0,14,179,3,10,21,0.03433075073470478,0
creator,image,lifestyle,reels feed,13798,6,134,0,0,11,88,3,4,15,0.009856500942165532,0
creator,reel,lifestyle,external,22291,9,127,0,0,13,89,0,3,18,0.006011394733300435,0
brand,reel,photography,explore,4542,10,116,0,0,12,25,0,0,6,0.008146191105239982,0
creator,image,fitness,hashtags,4972,10,111,0,0,8,387,8,18,59,0.11564762670957361,0
creator,image,lifestyle,reels feed,3083,6,127,0,0,14,210,5,14,23,0.0999026921829387,0
brand,reel,travel,profile,9696,8,136,1,0,15,222,13,9,38,0.03620049504950495,0
creator,carousel,photography,explore,8167,6,123,0,0,9,830,20,32,115,0.14644300232643565,1
creator,image,travel,profile,15986,6,106,1,0,4,305,9,12,42,0.027711747779306895,0
brand,image,photography,hashtags,3083,8,115,1,0,10,611,20,27,89,0.29516704508595526,1
creator,carousel,fitness,external,15986,11,138,1,0,5,46,1,1,3,0.003565619917427749,0
creator,carousel,beauty,home feed,9696,5,115,1,0,10,80,1,3,13,0.012066831683168317,0
creator,image,technology,reels feed,5824,6,125,0,0,1,112,3,7,20,0.030734890109890108,0
brand,reel,comedy,external,7486,6,151,0,0,18,377,12,18,45,0.07280256478760352,0
creator,carousel,beauty,reels feed,8167,6,130,0,0,22,222,11,12,38,0.043590057548671485,0
creator,carousel,music,home feed,5824,2,126,1,0,14,56,2,4,11,0.016140109890109892,0
creator,carousel,travel,external,6916,8,117,1,0,11,171,0,12,29,0.03831694621168305,0
brand,image,music,external,8167,8,110,0,0,6,147,5,6,18,0.025835680176319334,0
creator,reel,beauty,hashtags,5824,7,106,0,0,5,283,8,13,50,0.07520604395604395,0
brand,image,photography,reels feed,9461,2,122,0,0,10,374,20,18,57,0.061515696015220375,0
creator,carousel,comedy,profile,3551,11,137,0,0,3,98,2,7,17,0.04421289777527457,0
creator,carousel,comedy,reels feed,6916,7,134,0,0,13,442,14,26,62,0.09716599190283401,0
brand,image,fashion,explore,9461,11,132,0,0,9,20,0,1,0,0.002431032660395307,0
creator,carousel,comedy,hashtags,13798,11,133,0,0,14,424,16,14,69,0.04609363675895057,0
creator,image,technology,external,15986,8,128,0,0,3,304,10,10,46,0.027899411985487302,0
creator,carousel,comedy,hashtags,9044,6,105,0,0,12,208,6,11,23,0.03306059265811588,0
creator,carousel,beauty,external,3447,6,128,0,0,7,103,1,2,19,0.04322599361763853,0
creator,image,fashion,profile,15923,12,106,0,0,23,217,8,11,41,0.02185517804433838,0
brand,carousel,beauty,reels feed,15986,7,111,1,0,7,264,15,14,44,0.026523207806830977,0
brand,image,beauty,home feed,10018,3,147,0,0,12,549,16,34,76,0.08334997005390297,0
creator,image,food,external,10018,9,120,0,0,10,154,6,9,20,0.023258135356358553,0
brand,image,fashion,reels feed,9461,10,138,0,0,4,236,6,9,35,0.036465489905929606,0
creator,image,beauty,explore,10739,3,112,0,0,17,77,1,6,13,0.011453580407859204,0
creator,reel,food,profile,4542,7,122,0,0,17,102,0,5,15,0.03236459709379128,0
creator,carousel,food,reels feed,3551,12,118,0,0,1,859,28,33,132,0.3598986201070121,1
creator,carousel,fashion,profile,6916,9,117,0,0,21,266,8,12,42,0.058126084441873914,0
creator,reel,music,external,3551,9,129,1,0,14,198,6,7,17,0.07462686567164178,0
brand,image,photography,external,6916,9,120,1,0,4,126,4,8,16,0.027472527472527472,0
brand,image,technology,profile,15986,9,133,0,0,19,103,4,5,12,0.009383210309020392,0
creator,carousel,photography,home feed,13798,10,109,0,0,3,96,3,6,15,0.010871140745035512,0
creator,carousel,comedy,external,22291,5,118,1,0,7,194,0,4,22,0.011215288681530662,0
creator,reel,technology,hashtags,9461,8,106,0,0,17,49,0,2,11,0.008138674558714724,0
brand,image,comedy,hashtags,9696,13,111,1,0,20,86,1,5,13,0.013304455445544554,0
creator,carousel,beauty,external,10739,10,96,0,0,22,57,0,3,6,0.0072632461123009594,0
creator,carousel,travel,home feed,10018,7,100,1,0,14,58,1,1,10,0.008285086843681374,0
brand,image,fashion,home feed,13798,2,93,0,0,11,760,18,48,128,0.08667922887374982,0
creator,image,technology,explore,15986,12,106,0,0,6,270,0,9,37,0.023207806830977104,0
creator,image,technology,profile,10018,8,106,0,0,15,161,4,5,34,0.025154721501297665,0
creator,reel,beauty,reels feed,9461,8,124,0,0,7,78,1,4,0,0.009724130641581228,0
creator,image,music,profile,10018,7,112,0,0,13,266,10,10,0,0.031543222200039925,0
creator,carousel,food,external,10739,2,109,0,0,18,388,14,21,61,0.055964242480677905,0
creator,image,beauty,hashtags,8167,9,128,0,0,17,38,2,1,5,0.006734419003305988,0
creator,image,lifestyle,home feed,3083,6,123,0,0,7,714,23,24,95,0.33149529678884204,1
creator,reel,food,home feed,10018,7,122,0,0,15,182,5,9,21,0.026053104412058294,0
creator,image,fashion,external,9461,9,130,1,0,8,111,3,6,15,0.01744001691153155,0
creator,image,food,hashtags,10739,9,111,1,0,0,0,3,1,17,0.004004097215755657,0
creator,image,music,explore,3083,7,119,0,0,7,409,15,27,75,0.2173207914369121,1
brand,image,food,explore,3551,7,126,0,0,6,666,11,36,96,0.278231484088989,1
creator,image,fashion,explore,6916,11,136,0,0,7,92,3,3,23,0.022122614227877386,0
creator,reel,music,reels feed,8167,8,112,0,0,12,118,5,4,18,0.02155014081057916,0
creator,image,photography,external,8167,9,124,0,0,2,625,20,33,98,0.11754622260315906,0
creator,carousel,technology,reels feed,4542,7,128,0,0,1,237,9,9,37,0.07837956847203875,0
creator,image,technology,external,5824,10,123,1,0,12,117,3,7,15,0.029876373626373628,0
brand,reel,comedy,reels feed,3447,6,118,0,0,3,20,0,1,4,0.00899332753118654,0
creator,image,photography,reels feed,3551,5,131,0,0,22,558,16,26,92,0.23993241340467475,1
brand,carousel,photography,hashtags,15923,10,126,1,0,1,191,9,10,24,0.018024241663003204,0
creator,carousel,food,reels feed,31095,8,129,1,0,22,127,4,6,25,0.006528380768612317,0
creator,image,technology,reels feed,4972,6,108,0,0,6,164,5,8,26,0.0502815768302494,0
brand,carousel,fashion,reels feed,10739,11,121,0,0,8,89,6,3,8,0.011732936027563088,0
creator,reel,fitness,explore,3551,8,123,1,0,18,129,4,7,16,0.053506054632497885,0
creator,image,fitness,explore,5824,10,112,0,0,8,114,3,9,25,0.03382554945054945,0
creator,reel,music,home feed,8167,3,119,0,0,22,155,4,7,21,0.027672339904493692,0
creator,image,technology,reels feed,9044,11,93,0,0,10,196,11,14,31,0.03560371517027864,0
creator,image,technology,hashtags,4972,10,110,0,0,12,158,4,10,15,0.045454545454545456,0
brand,image,fitness,profile,5824,6,126,0,0,7,174,9,7,23,0.04447115384615385,0
creator,reel,technology,home feed,3551,4,112,1,0,13,854,26,34,115,0.348634187552802,1
brand,image,food,external,3447,8,122,0,0,18,25,1,0,2,0.00899332753118654,0
creator,carousel,lifestyle,explore,22291,7,142,0,0,4,680,18,18,102,0.04369476470324346,0
creator,carousel,travel,reels feed,4542,13,114,0,0,15,164,3,9,23,0.053500660501981503,0
creator,reel,photography,explore,5824,7,115,1,0,6,256,6,12,38,0.06524725274725275,0
creator,reel,comedy,profile,10034,8,128,0,0,23,77,2,6,15,0.012856288618696431,0
creator,reel,music,external,13798,8,126,0,0,13,321,8,15,60,0.036382084360052185,0
creator,reel,lifestyle,home feed,13798,12,120,0,0,21,200,6,0,20,0.01826351645165966,0
brand,image,fitness,hashtags,31095,7,133,0,0,21,47,4,3,12,0.0028300369834378517,0
brand,image,photography,hashtags,9044,6,118,0,0,4,86,3,6,20,0.016585581601061477,0
brand,reel,technology,hashtags,3551,7,128,0,0,19,57,1,5,8,0.025344973246972685,0
creator,reel,comedy,hashtags,9461,2,129,0,0,15,181,6,11,27,0.029595180213508085,0
brand,image,technology,explore,9461,9,100,0,0,6,385,7,18,58,0.060141634076736075,0
creator,image,fashion,external,31095,8,112,0,0,20,0,13,19,78,0.007686123170927802,0
brand,carousel,fashion,external,5824,3,105,1,0,15,325,13,15,43,0.08276098901098901,0
creator,carousel,comedy,reels feed,6916,6,118,1,0,23,75,4,2,10,0.015760555234239446,0
creator,image,comedy,profile,10018,3,115,0,0,11,947,31,47,140,0.14274306248752247,1
brand,reel,fitness,home feed,3551,12,125,0,0,15,399,8,27,71,0.1796676992396508,1
creator,image,comedy,hashtags,10034,10,104,1,0,16,81,3,6,15,0.013454255531193941,0
brand,image,food,explore,15986,13,114,0,0,7,261,6,11,36,0.02364568997873139,0
creator,carousel,technology,profile,6916,8,131,0,0,11,585,14,0,72,0.10945633314054366,0
creator,reel,lifestyle,hashtags,10739,11,133,0,0,4,513,12,35,80,0.07468106900083807,0
brand,carousel,beauty,hashtags,9461,8,129,0,0,3,211,6,12,37,0.0351971250396364,0
creator,image,comedy,profile,3447,6,99,1,0,21,344,11,11,53,0.14650420655642588,1
brand,carousel,music,profile,4542,4,114,0,0,22,194,5,6,37,0.06516952884191986,0
creator,image,fashion,explore,13798,9,103,0,0,18,180,6,8,30,0.02000289897086534,0
creator,image,food,profile,8167,5,107,0,0,11,455,8,21,59,0.07983347618464552,0
creator,carousel,photography,reels feed,6916,16,115,1,0,3,166,2,13,26,0.037738577212261426,0
creator,image,beauty,external,31095,5,116,0,0,6,399,9,22,62,0.019520823283486092,0
brand,carousel,lifestyle,explore,15923,8,113,0,0,6,152,0,8,22,0.013816491867110469,0
creator,carousel,beauty,reels feed,15923,9,139,0,0,18,217,8,16,33,0.021792375808578787,0
creator,image,comedy,reels feed,31095,7,122,0,0,2,174,6,7,28,0.008457951439138125,0
brand,image,fitness,explore,13798,7,121,0,0,23,539,20,31,92,0.062037976518335994,0
creator,carousel,fashion,explore,3551,7,113,0,0,23,386,0,14,50,0.14869050971557307,1
brand,reel,fashion,home feed,22291,6,136,0,0,18,103,5,4,13,0.00677403436364452,0
brand,carousel,photography,reels feed,10018,11,119,1,0,22,157,4,6,26,0.02345777600319425,0
creator,reel,fitness,external,15923,2,109,0,0,18,61,2,2,7,0.005338190039565409,0
creator,carousel,technology,hashtags,10739,6,133,0,0,12,94,1,3,10,0.011639817487661793,0
creator,carousel,travel,hashtags,15923,6,134,0,0,13,95,4,4,12,0.008729510770583433,0
brand,image,food,home feed,15923,7,105,0,0,17,682,18,43,111,0.06713559002700496,0
creator,reel,fashion,hashtags,15923,7,129,1,0,6,46,1,4,0,0.0037681341455755826,0
brand,carousel,music,explore,22291,10,144,0,0,12,165,4,7,26,0.011035844062626173,0
creator,carousel,fashion,explore,22291,10,108,0,0,23,181,5,11,20,0.01184334484769638,0
brand,image,beauty,profile,10739,12,134,0,0,13,68,2,4,6,0.008939379830524258,0
brand,image,fashion,home feed,9461,10,87,1,0,16,105,1,5,10,0.015008984251136243,0
brand,image,fashion,profile,9461,16,117,0,0,14,0,2,6,18,0.006130430187083818,0
creator,reel,travel,hashtags,3447,10,111,1,0,8,121,5,5,16,0.051639106469393674,0
creator,image,travel,reels feed,22291,5,105,0,0,1,247,9,15,34,0.016957516486474363,0
creator,image,lifestyle,home feed,13798,9,120,1,0,2,36,1,0,9,0.0040585592114799245,0
creator,carousel,technology,external,10034,9,121,0,0,7,852,28,33,137,0.12766593581821806,0
creator,reel,music,home feed,4972,4,135,0,0,17,335,9,14,49,0.09915526950925181,0
brand,image,fashion,explore,9044,6,127,1,0,22,71,1,4,6,0.010725342768686422,0
brand,image,fashion,reels feed,15923,14,104,1,0,10,290,5,13,43,0.02669095019782704,0
creator,image,food,external,10034,10,117,1,0,23,111,7,7,22,0.018935618895754434,0
brand,carousel,travel,explore,10739,8,117,0,0,9,1244,33,69,168,0.17254865443709844,1
creator,reel,music,hashtags,31095,10,127,1,0,20,173,8,7,21,0.008104196816208394,0
creator,carousel,photography,reels feed,22291,11,131,0,0,10,75,4,2,7,0.004620698936790633,0
brand,image,lifestyle,explore,10034,9,126,0,0,2,48,1,3,7,0.00727526410205302,0
brand,image,technology,profile,9044,10,129,0,0,11,1852,61,89,327,0.3201017249004865,1
creator,reel,fitness,hashtags,9696,5,128,0,0,8,86,2,3,10,0.012273102310231022,0
brand,reel,technology,external,9696,10,130,1,0,11,68,2,1,9,0.009591584158415841,0
brand,carousel,beauty,external,9461,6,118,0,0,13,342,10,22,51,0.05601944826128316,0
creator,reel,fashion,home feed,6916,6,128,0,0,12,75,1,8,8,0.016917293233082706,0
creator,reel,lifestyle,hashtags,10034,10,125,0,0,7,75,2,5,8,0.010962726729120988,0
brand,carousel,beauty,profile,9696,4,115,1,0,2,757,37,43,0,0.09900990099009901,0
brand,image,music,external,10018,10,118,0,0,23,101,5,4,26,0.017468556598123377,0
creator,image,fitness,home feed,31095,13,129,0,0,18,77,3,3,16,0.003987779385753337,0
creator,carousel,travel,hashtags,4972,9,109,0,0,5,108,3,5,13,0.031174577634754626,0
creator,image,lifestyle,external,3447,5,110,0,0,15,306,8,15,53,0.13722077168552366,1
brand,carousel,lifestyle,hashtags,10018,8,139,0,0,13,126,8,6,15,0.018965861449391094,0
creator,image,fashion,home feed,3447,12,112,0,0,0,199,6,11,27,0.08645198723527706,0
creator,reel,comedy,hashtags,31095,10,127,0,0,19,50,2,2,7,0.00237980382698183,0
brand,image,lifestyle,reels feed,3551,16,102,0,0,7,104,0,3,12,0.03858068149816953,0
creator,reel,food,hashtags,31095,7,125,0,0,5,1348,46,71,226,0.06769577102428043,0
brand,reel,fitness,home feed,6916,5,121,1,0,4,244,10,12,37,0.0540775014459225,0
brand,reel,fitness,profile,9461,11,120,1,0,21,46,1,3,6,0.007293097981185921,0
brand,reel,food,external,15986,5,114,0,0,6,501,21,20,0,0.03772050544226198,0
brand,reel,photography,explore,3551,10,114,0,0,0,222,5,13,38,0.09771895240777245,0
brand,image,food,home feed,7486,4,129,0,0,12,0,4,5,26,0.010018701576275714,0
creator,image,food,external,15986,12,122,0,0,15,104,3,5,17,0.009946202927561617,0
brand,carousel,fitness,profile,9461,8,120,0,0,18,539,16,27,78,0.08540323433040904,0
creator,image,technology,profile,9044,3,109,1,0,11,410,6,23,60,0.06755860238832376,0
creator,reel,fitness,external,7486,6,106,1,0,13,287,11,13,44,0.05824205183008282,0
creator,reel,comedy,profile,4542,7,140,1,0,14,339,8,20,46,0.11162483487450463,0
creator,reel,fashion,profile,10018,7,128,0,0,11,307,9,16,58,0.04881213815132761,0
creator,image,beauty,reels feed,3551,10,121,0,0,16,384,3,27,72,0.17319065052098,1
creator,image,technology,hashtags,9696,12,138,0,0,8,603,21,24,102,0.09498762376237624,0
creator,carousel,travel,profile,9696,10,139,1,0,3,574,17,30,65,0.0853960396039604,0
brand,carousel,beauty,external,31095,8,142,0,0,17,339,8,14,51,0.016047596076539637,0
creator,reel,fashion,external,15923,8,119,0,0,11,148,0,11,18,0.01362808515983169,0
creator,carousel,comedy,home feed,22291,8,131,1,0,10,512,13,15,69,0.03234489255753443,0
creator,image,comedy,home feed,9461,11,128,1,0,20,304,13,12,55,0.05031180636296374,0
creator,reel,travel,hashtags,9696,8,114,0,0,1,194,2,12,27,0.0297029702970297,0
brand,carousel,technology,hashtags,13798,6,126,0,0,22,66,3,3,10,0.0073199014349905785,0
creator,reel,photography,reels feed,10739,12,108,0,0,19,380,3,20,58,0.052332619424527424,0
creator,image,food,reels feed,10739,4,136,1,0,20,174,7,9,32,0.02598007263246112,0
brand,carousel,technology,external,6916,6,114,0,0,13,38,0,3,0,0.006795835743204164,0
creator,carousel,photography,profile,6916,5,133,0,0,11,308,7,22,48,0.06998264893001735,0
brand,reel,comedy,explore,10018,9,109,1,0,1,309,6,11,41,0.04352166101018167,0
creator,reel,fitness,explore,3447,3,128,0,0,10,64,4,2,7,0.026689875253843923,0
creator,image,fashion,reels feed,9696,10,113,0,0,4,326,13,14,48,0.05053630363036304,0
creator,carousel,travel,profile,9696,9,123,1,0,13,190,9,14,27,0.03135313531353135,0
creator,image,fashion,home feed,10018,4,130,0,0,14,189,3,7,24,0.02635256538231184,0
creator,reel,music,hashtags,31095,8,119,0,0,19,488,14,26,74,0.023862357292169158,0
creator,carousel,music,profile,9461,8,129,1,0,2,429,17,21,51,0.06637776133601099,0
brand,reel,technology,home feed,31095,14,115,1,0,16,101,4,3,10,0.004438012542209358,0
brand,image,comedy,external,9044,7,104,0,0,5,349,8,15,43,0.05484298982750995,0
creator,image,comedy,explore,15923,4,125,1,0,6,267,5,6,43,0.023927651824404948,0
creator,carousel,food,hashtags,15986,13,113,1,0,12,77,2,2,11,0.006818466157888152,0
brand,reel,food,profile,4972,10,143,1,0,0,54,1,4,7,0.016492357200321803,0
creator,carousel,food,reels feed,10034,6,106,1,0,12,150,3,3,34,0.023221048435319913,0
creator,image,fitness,home feed,15986,7,130,0,0,5,131,4,5,8,0.010634305016889778,0
creator,image,beauty,external,31095,9,111,0,0,16,2167,58,111,326,0.10509728252130568,0
brand,carousel,lifestyle,reels feed,10018,10,120,0,0,5,321,9,15,47,0.04771411459373128,0
creator,image,beauty,external,9696,10,135,0,0,3,438,10,17,60,0.06487211221122112,0
brand,image,fashion,external,10018,4,116,0,0,5,332,10,17,47,0.049610700738670396,0
creator,reel,beauty,home feed,7486,6,125,1,0,0,215,9,11,36,0.045150948437082554,0
creator,reel,fitness,external,3083,11,114,1,0,0,172,7,9,25,0.08530651962374311,0
creator,image,fashion,explore,7486,12,115,0,0,18,168,4,6,23,0.03205984504408229,0
creator,reel,beauty,hashtags,22291,11,107,1,0,21,1008,54,36,147,0.06809923287425418,0
creator,image,fitness,home feed,10018,5,99,0,0,18,462,11,9,68,0.06458374925134758,0
brand,reel,lifestyle,explore,9696,6,127,0,0,12,1379,46,71,183,0.21142739273927394,1
creator,carousel,beauty,home feed,6916,5,123,1,0,6,52,0,2,5,0.009832272990167727,0
brand,reel,fitness,reels feed,4972,4,130,1,0,10,225,7,6,0,0.05168946098149638,0
creator,reel,food,profile,9461,9,143,1,0,19,100,2,7,11,0.015537469612091745,0
creator,image,comedy,explore,4972,9,142,1,0,11,13,0,1,1,0.0036202735317779565,0
creator,image,food,home feed,9461,14,103,1,0,8,367,7,24,54,0.05929605749920727,0
creator,image,comedy,home feed,3083,13,132,0,0,12,46,1,3,13,0.026921829386960753,0
creator,reel,travel,hashtags,9696,5,114,1,0,6,173,10,11,23,0.028052805280528052,0
brand,carousel,travel,profile,31095,5,122,1,0,19,149,5,5,26,0.00726804952564721,0
creator,reel,travel,explore,15986,5,113,1,0,4,194,5,13,31,0.019079194295008133,0
creator,image,lifestyle,external,3551,7,111,0,0,15,53,1,6,1,0.021120811039143903,0
creator,image,food,home feed,10018,4,112,0,0,19,716,21,41,99,0.10770612896785786,0
brand,image,comedy,external,15923,7,122,0,0,17,413,12,31,65,0.04144947560133141,0
brand,image,fitness,reels feed,9461,12,103,0,0,11,313,9,21,51,0.05242574780678575,0
creator,reel,fashion,hashtags,9696,9,104,0,0,23,120,1,3,21,0.017842409240924093,0
creator,image,fitness,external,13798,12,119,0,0,21,291,7,23,40,0.03290331932164082,0
brand,image,fashion,hashtags,3447,6,121,0,0,0,201,7,17,46,0.10385842761821874,0
brand,image,music,reels feed,3083,6,111,0,0,7,269,6,14,33,0.12617580278949075,0
creator,reel,fitness,hashtags,10034,3,110,0,0,3,62,2,6,13,0.010962726729120988,0
creator,carousel,beauty,external,10034,10,100,1,0,16,298,5,10,37,0.04106039465816225,0
brand,carousel,beauty,profile,5824,4,113,1,0,2,136,5,7,16,0.03416895604395604,0
creator,image,technology,external,3447,8,111,0,0,21,153,4,6,26,0.0670147954743255,0
creator,image,food,hashtags,15986,6,116,0,0,17,435,14,31,62,0.04253722006755911,0
creator,image,fashion,external,22291,6,101,0,0,7,338,8,22,37,0.022161410434704588,0
creator,reel,fashion,profile,9461,7,132,0,0,20,38,1,2,9,0.00676461262023042,0
brand,carousel,food,hashtags,8167,8,107,0,0,20,231,5,13,42,0.04456960940369781,0
creator,image,lifestyle,explore,9461,7,101,1,0,0,191,6,13,32,0.03234330409047669,0
brand,image,technology,profile,10739,6,117,0,0,8,672,27,30,69,0.0888350870658348,0
creator,image,lifestyle,home feed,9696,11,125,0,0,1,190,5,9,34,0.030424917491749175,0
brand,image,lifestyle,home feed,3447,5,108,0,0,9,53,4,4,7,0.025239338555265448,0
creator,carousel,lifestyle,reels feed,4972,8,125,1,0,13,62,4,1,11,0.01910699919549477,0
creator,image,food,explore,10018,10,124,0,0,0,468,16,26,52,0.06807746057097225,0
brand,image,lifestyle,explore,15923,4,114,0,0,9,272,9,0,0,0.018212648370281984,0
creator,carousel,beauty,profile,15923,11,119,0,0,7,229,9,6,39,0.021541166865540414,0
creator,image,travel,hashtags,13798,12,112,0,0,2,65,1,5,12,0.007682272793158429,0
creator,image,music,profile,3083,11,126,1,0,12,641,16,23,94,0.3016542328900422,1
creator,image,fashion,explore,10034,7,119,0,0,2,169,9,13,21,0.026709188758222046,0
creator,image,fashion,external,10018,11,108,0,0,6,608,16,26,83,0.08824116590137752,0
brand,image,music,reels feed,6916,13,107,0,0,22,312,8,8,37,0.0615962984384037,0
creator,image,food,profile,10739,8,131,0,0,22,910,32,47,118,0.12580314740664866,0
creator,image,fitness,hashtags,15923,6,96,0,0,10,93,2,4,12,0.008352697356025875,0
creator,image,food,profile,3083,6,121,0,0,13,60,2,5,10,0.03211157963023029,0
creator,carousel,fashion,explore,10018,9,131,1,0,6,204,7,12,30,0.031343581553204235,0
brand,reel,fashion,explore,9461,16,121,0,0,18,279,2,9,45,0.04227882887644012,0
brand,carousel,music,explore,31095,7,131,0,0,14,629,16,37,94,0.03087313072841293,0
creator,image,lifestyle,reels feed,9461,10,141,0,0,7,148,6,13,16,0.02441602367614417,0
creator,image,food,reels feed,10018,8,122,0,0,0,73,2,6,19,0.013276103014573767,0
creator,reel,comedy,reels feed,7486,11,148,1,0,2,109,3,5,0,0.017365749398877906,0
creator,carousel,music,external,4542,4,111,1,0,7,194,7,15,42,0.07419638925583444,0
creator,reel,beauty,hashtags,10018,7,108,1,0,12,327,6,14,56,0.049211419444999,0
creator,carousel,fashion,external,15986,11,116,0,0,17,123,2,0,22,0.010696859752283247,0
creator,carousel,music,hashtags,3083,8,133,0,0,6,246,7,21,32,0.12552708400908205,0
creator,image,food,reels feed,7486,6,125,1,0,19,129,3,5,21,0.02564787603526583,0
creator,reel,fashion,home feed,8167,7,134,0,0,5,116,3,4,19,0.021060364883065997,0
creator,carousel,fitness,external,22291,8,117,0,0,7,412,15,12,67,0.02745502669238706,0
